Label,Email
spam, http://www.natchitoches.net/cgi-bin/get_postcard.pl?word=LJEMRBTL
ham, Patty  Could you please forward this to Susan Fick.  I don't have her e-mail.  LC
ham, Rosie just called... Ken will record the voicemail.  Are you hungry?  Want us to bring you food?  
ham, Sorry I cannot respond immediately - I will be out of the office until January 2.  I will be checking my e-mail from home and will respond as necessary.
ham,X-Origin: Sanders-R X-FileName: rsander.nsf  Great job----I've got about 45 more for you.
ham, good luck.  please acquire food.
ham," David, you can take me off the distribution list now.   Thanks, mike"
ham,"X-Origin: BAUGHMAN-D X-FileName: don baughman 6-25-02.PST  This will be an interactive demonstration & product evaulation of OATI's new webTrader application.  We will contact Ilia, from OATI, to begin the demonstration.  Thanks,  Poston "
spam," FYI -    Attached please find info. on an up-coming CERA conference, ""Balancing Risk and Opportunity: Gas and Power Markets Beyond the California Crisis"": <http://www.cera.com/event/carlsbad/agenda/0,1907,,00.html>"
ham," Sorry, for not saying good-bye when you left last night.  I thought you were at work on Thursday and I thought I would wish you well then.  So I guess, better late than never.  Have a good and safe trip!  Regards,  Jon"
ham, thank you
ham,  - Nov13ENAOnly.doc 
ham," need to chk w/Tribolet, but does 9:30 AM CDT on Monday work for you?  jeff"
ham, Andy:  You are my PRC Rep this year. I would like to drop by to introduce myself and  brief you on my roles and responsibilities. Please let me know what would be  a good time for you. I think 15-20 minutes should be enough.  Murli (X-33236)
ham,"X-Origin: JONES-T X-FileName: tjones.nsf  Please send a Non Disclosure regarding Broker Client to Scott Kushnick at  Evolution Markets, 65 Broadway, 5th Floor New York, NY  10006.  His email  address is skushnick@evomarkets.com.  Thanks,  -Dan"
ham, I did not receive this as far as I know... pls check with Jessica
ham," Attached is a draft of an LOI for the City of Rocky Mount.   Please let me  know by tomorrow morning if you have any comments.    By the way, the exclusivity provisions are being re-examined, as CRM wants  reciprocal exclusivity.  Thank you,  Kay"
ham, i felt like a champ on sat
ham,Kevin Belford 202-824-7070 (W) 202-237-0260 (H) 202-257-2555 (M)  Theresa Thoman 202-824-7072
spam, Please visit our ETS IT Newsletter at:  http://www.ets.enron.com/ITNewsletter/
ham," Tana,  Click on this link to view the list -->  Let me know if you have any questions/problems.  Mike 3-3363"
ham," I can't make it this week, but I will bring in your jersey . . . bitch!"
ham," Shirley,  Please, put this on an official form.  Vince "
ham, What is the situation with a lawsuit involving Solarc?
ham,"X-bcc:  X-Folder: \Y'Barbo, Paul\Y'Barbo, Paul\Inbox X-Origin: YBARBO-P X-FileName: Y'Barbo, Paul.pst  Attached you will find the weekly report for week ending of May 25, 2001.     Saludos"
ham, David - We'r trying to get through to you on the phone but can't get across  the Atlantic.  Can you try calling us?  I'm at 713 - 853-7459 & Jeff is at  713-853-6911.  Thanks
ham,"X-Origin: JONES-T X-FileName: tjones.nsf  Ditto Credit.   Thanks,   Shari"
ham," Please join us to wish Amy FitzPatrick and Tracy Ngo a fond farewell. Fernando's Hideaway, 824 SW First Avenue Tuesday, September 18, 2001 4:30 PM - 7:30 PM   "
ham,"X-FileName: tjones.nsf  Best Regards,  Nicole Hunter Clickpaper Support Team 713-345-8438"
ham,X-Origin: MANN-K X-FileName: kmann.nsf  Attached is a legal memo regarding Westinghouse's delivery obligations with  respect to the 501D5A gas turbine generator package.  I will forward you an  additional copy by fax.  TFAH   - 1199308.01
spam, http://www.cnn.com/2001/TECH/industry/07/06/consoles.divide.idg/index.html 
